"Student Counts by District and Race"
"All Districts"
"Trend"

"",,"Race",,,,,,,,,,,,
"District","District Code","American Indian","American Indian or Alaska Native","Asian","Black or African American","Black, not of Hispanic Origin","Hispanic/Latino","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Not Reported","Two or More Races","White","White, not of Hispanic Origin","Total"
"West Hartford School District","=""1550011""",89,145,11021,5907,3027,4421,11299,31,9,2315,42288,19588,100140
"West Haven School District","=""1560011""",94,74,2315,9304,4765,4634,13759,"*","*",1510,15848,8842,61160
"Westbrook School District","=""1540011""",8,20,160,25,33,114,564,0,0,74,5158,2725,8881
"Weston School District","=""1570011""",6,9,958,265,138,154,577,7,0,519,15018,7173,24824
"Westport School District","=""1580011""",33,"*",2908,674,271,472,1636,"*",0,891,34849,15729,57490
"Wethersfield School District","=""1590011""",38,64,1650,1043,604,1439,3881,7,0,463,19204,8964,37357
"Willington School District","=""1600011""",0,0,77,27,"*",77,160,"*",0,86,2931,1575,4954
"Wilton School District","=""1610011""","*",45,3046,364,138,260,896,"*",0,493,25685,12003,42948
"Winchester School District","=""1620011""",39,22,110,140,128,249,422,6,0,31,4110,2578,7835
"Windham School District","=""1630011""","*",94,346,993,669,6399,15301,"*",0,474,5908,3407,33678
"Windsor Locks School District","=""1650011""",13,20,1464,1148,510,347,1243,18,0,426,7995,4216,17400
"Windsor School District","=""1640011""",46,16,1680,10829,6123,1359,3611,22,0,1047,6848,3812,35393
"Wolcott School District","=""1660011""",6,24,474,353,174,313,827,11,0,535,15422,7900,26039
"Woodbridge School District","=""1670011""",14,18,997,188,62,88,282,28,0,98,3965,1865,7605
"Woodstock Academy District","=""9030022""",28,14,599,37,25,80,202,0,0,109,6455,3322,10871
"Woodstock School District","=""1690011""",31,0,122,40,23,99,198,0,0,224,5676,2595,9008
"Total","=""""",6431,11381,250960,499741,238938,294774,823739,3262,52,89347,2247082,1102591,5568298

